date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value,run_id,run_type,scope,date_start,date_end
2018-08-31,CtB-only,1,250,3,0.0087342367340312,0,9,success,0.0009822979171007,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-08-31,Main,1,250,2,1.2793067548202561e-08,0,10,success,0.0021172275985639,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-09-28,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-09-28,GMV,1,0,35,0.0002420227593162,0,6,success,0.000316103543821,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-09-28,CtR-only,1,174,2,1.587501310850969e-10,0,10,success,0.0001992768686664,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-09-28,MDP,1,250,2,0.0482331443674155,0,9,success,-2.110047936484476,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-09-28,CtB-only,1,250,2,0.0080146229630659,0,9,success,0.0008665538511965,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-09-28,Main,1,250,2,3.138781489913233e-08,0,10,success,0.0022718972721158,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-10-31,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-10-31,GMV,1,0,49,0.0002214355004337,0,6,success,0.0003147656514992,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-10-31,CtR-only,1,250,2,6.586232266472605e-11,0,10,success,0.0002113859079185,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-10-31,MDP,1,250,2,0.1370591219828838,0,8,success,-2.1743178074135487,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-10-31,CtB-only,1,250,2,0.0149573524544477,0,8,success,0.0018057901572214,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-10-31,Main,1,250,2,9.799806307700455e-09,0,10,success,0.0023239499752331,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-11-30,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-11-30,GMV,1,0,53,0.0002597671290753,0,8,success,0.0003165483744176,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-11-30,CtR-only,1,210,2,1.0031118317633842e-10,0,10,success,0.0002074457229696,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-11-30,MDP,1,250,2,0.1037503697372186,0,8,success,-2.1596915448501384,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-11-30,CtB-only,1,250,3,0.0118946094928472,0,9,success,0.0015415999148326,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-11-30,Main,1,250,2,1.9745171523177845e-08,0,10,success,0.002302302602019,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-12-31,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-12-31,GMV,1,0,41,0.0002440731653524,0,8,success,0.0003413757775228,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-12-31,CtR-only,1,250,2,7.272958413915359e-11,0,10,success,0.0002090377484842,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-12-31,MDP,1,250,1,0.0779120226706155,0,9,success,-2.2136290040473754,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-12-31,CtB-only,1,250,2,0.0138032471172126,0,9,success,0.0018048024866185,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-12-31,Main,1,250,3,1.3734238591309598e-08,0,10,success,0.0024456764817831,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-01-31,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-01-31,GMV,1,0,54,0.0002533698959076,0,8,success,0.0003569633554502,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-01-31,CtR-only,1,250,2,3.635260448704374e-11,0,10,success,0.0002057968973638,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-01-31,MDP,1,250,2,0.1420982076820068,0,8,success,-2.2300672772760564,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-01-31,CtB-only,1,250,2,0.0194526415722778,0,9,success,0.0030466532201314,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-01-31,Main,1,250,3,6.204559284539318e-08,0,10,success,0.0033531144773116,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-02-28,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-02-28,GMV,1,0,56,0.0001567548137926,0,7,success,0.000337206591093,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-02-28,CtR-only,1,130,2,3.6110471977564965e-08,0,10,success,0.0002038765588323,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
