date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2023-09-29,EW,1,0,0,0.0,0,10,success,0.0
2023-09-29,GMV,1,0,32,0.0010163496351577555,0,3,success,0.0014611794543418102
2023-09-29,CtR-only,1,261,2,2.6100207178919136e-11,0,10,success,0.00016818437870622495
2023-09-29,MDP,1,159,2,0.13287313377446547,0,8,success,-1.627832854563021
2023-09-29,CtB-only,1,300,2,0.012456941078526192,0,8,success,0.0024920604374545387
2023-09-29,Main,1,116,2,6.579454776888575e-11,0,10,success,0.007508562054661626
2023-10-31,EW,1,0,0,0.0,0,10,success,0.0
2023-10-31,GMV,1,0,36,0.0009828008837606918,0,4,success,0.0015047378100307572
2023-10-31,CtR-only,1,166,2,8.627087583019577e-09,0,10,success,0.00016913685552817553
2023-10-31,MDP,1,144,2,0.09459154108692089,0,7,success,-1.6750549578325633
2023-10-31,CtB-only,1,300,2,0.008896665147172267,0,8,success,0.0016083486777180717
2023-10-31,Main,1,125,2,7.330053469551314e-11,0,10,success,0.005701575299249582
2023-11-30,EW,1,0,0,0.0,0,10,success,0.0
2023-11-30,GMV,1,0,32,0.001247930725774448,0,3,success,0.0011375421441027066
2023-11-30,CtR-only,1,154,2,1.768027860593724e-11,0,10,success,0.00016485200595937262
2023-11-30,MDP,1,186,2,0.09086432863199687,0,7,success,-1.697604612674271
2023-11-30,CtB-only,1,300,2,0.008686372586979064,0,7,success,0.0013092281875833308
2023-11-30,Main,1,163,2,1.1438459323637108e-10,0,10,success,0.004933239692062297
2023-12-29,EW,1,0,0,0.0,0,10,success,0.0
2023-12-29,GMV,1,0,34,0.0013967020659716755,0,3,success,0.0011105717840865575
2023-12-29,CtR-only,1,256,2,2.531954816760844e-11,0,10,success,0.00016049022580037127
2023-12-29,MDP,1,265,1,0.10175669182200098,0,7,success,-1.7292428558676263
2023-12-29,CtB-only,1,300,2,0.008371561217507206,0,7,success,0.0015616736123416266
2023-12-29,Main,1,139,2,1.0947337033915142e-10,0,10,success,0.006371944398217768
2024-01-31,EW,1,0,0,0.0,0,10,success,0.0
2024-01-31,GMV,1,0,35,0.0012882847840236763,0,3,success,0.001094826315259679
2024-01-31,CtR-only,1,249,2,2.531669242297646e-11,0,10,success,0.00015342589642043073
