date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2017-12-29,GMV,1,0,48,0.0003440038370611856,0,5,success,0.00027833853549426253
2017-12-29,CtR-only,1,226,2,4.101824445859509e-11,0,10,success,0.00016806661609154825
2017-12-29,MDP,1,250,1,0.19155079428291275,0,7,success,-2.070903123289397
2017-12-29,CtB-only,1,250,3,0.04007370019700227,0,8,success,0.0012171433803139012
2017-12-29,Main,1,250,2,4.663891214383148e-10,0,10,success,0.0014866541131495531
2018-01-31,EW,1,0,0,0.0,0,10,success,0.0
2018-01-31,GMV,1,0,48,0.0003303317994312709,0,5,success,0.0002730401223314213
2018-01-31,CtR-only,1,235,2,4.836069707633149e-11,0,10,success,0.0001739793659436062
2018-01-31,MDP,1,250,2,0.14664009752485185,0,8,success,-2.056356200265889
2018-01-31,CtB-only,1,250,3,0.02717970795786586,0,8,success,0.0007729709834283566
2018-01-31,Main,1,250,1,3.971497141759382e-10,0,10,success,0.0006171548297091826
2018-02-28,EW,1,0,0,0.0,0,10,success,0.0
2018-02-28,GMV,1,0,50,0.00048369404879516133,0,6,success,0.0004174282878808721
2018-02-28,CtR-only,1,212,2,6.711864424954229e-11,0,10,success,0.00020566878759884115
2018-02-28,MDP,1,250,1,0.19858388332064233,0,8,success,-2.006251689600388
2018-02-28,CtB-only,1,250,2,0.02662238200047099,0,8,success,0.0010804069776349072
2018-02-28,Main,1,250,1,3.5567419417894755e-10,0,10,success,0.0007177286969047947
2018-03-29,EW,1,0,0,0.0,0,10,success,0.0
2018-03-29,GMV,1,0,54,0.00038529079830458714,0,6,success,0.0003875838816358549
2018-03-29,CtR-only,1,207,2,8.388985146444152e-11,0,10,success,0.00018084417079160806
2018-03-29,MDP,1,250,2,0.22659393524745075,0,7,success,-2.1065703290067628
2018-03-29,CtB-only,1,250,2,0.024403555942110307,0,7,success,0.0010367771816722502
2018-03-29,Main,1,250,2,3.134031958942139e-09,0,10,success,0.00047584503044794963
2018-04-30,EW,1,0,0,0.0,0,10,success,0.0
2018-04-30,GMV,1,0,54,0.0003692005680842881,0,6,success,0.00036930839297647823
2018-04-30,CtR-only,1,240,2,7.631916287584106e-11,0,10,success,0.00018752188914225438
2018-04-30,MDP,1,250,1,0.2913336585208166,0,7,success,-2.0950069420361443
2018-04-30,CtB-only,1,250,2,0.03024272283055815,0,7,success,0.0014146945656421926
2018-04-30,Main,1,250,2,6.473815122713999e-10,0,10,success,0.0007099200455434724
2018-05-31,EW,1,0,0,0.0,0,10,success,0.0
2018-05-31,GMV,1,0,54,0.0003316830713138113,0,7,success,0.00036278670936234196
2018-05-31,CtR-only,1,231,2,8.630690728451442e-11,0,10,success,0.0001897043541733129
2018-05-31,MDP,1,250,2,0.14767257593162433,0,7,success,-2.092016407592775
2018-05-31,CtB-only,1,250,2,0.016969508090412467,0,7,success,0.0006776098133484906
2018-05-31,Main,1,250,2,3.94438202723693e-09,0,10,success,0.000832503352635477
2018-06-29,EW,1,0,0,0.0,0,10,success,0.0
2018-06-29,GMV,1,0,61,0.00027809856120709914,0,6,success,0.0003477990625303647
