date,strategy,period_return,wealth,drawdown
2022-11-30,GMV,0.0100264050981642,0.943645080402292,-0.06462364968707845
2022-12-30,GMV,0.0003310346237206,0.9439574595964088,-0.06431400772891549
2023-01-31,GMV,0.0088921937014028,0.9523513121730242,-0.05599370664195169
2023-02-28,GMV,-0.0091963363058779,0.9435931692249369,-0.0646751059905376
2023-03-31,GMV,0.0164150478744278,0.9590822962717472,-0.04932170307722816
2023-04-28,GMV,0.0021951378160447,0.9611876140889923,-0.04723483319676003
2023-05-31,GMV,-0.005458510874167,0.9559409610453729,-0.05243551222028309
2023-06-30,GMV,-0.0033034245694726,0.9527830821876903,-0.05556572003037441
2023-07-31,GMV,0.0060543140310875,0.9585515301707621,-0.04984781831771412
2023-08-31,GMV,0.0035438190864709,0.9619484633787472,-0.046480650881216445
2023-09-29,GMV,-0.0011379863587579,0.960853779149594,-0.04756574289332538
2023-10-31,GMV,0.0018850707195423,0.9626650564744306,-0.04577033696296451
2023-11-30,GMV,0.0126899315388688,0.9748812101359524,-0.03366122786666659
2023-12-29,GMV,0.0112977059464451,0.985895131380783,-0.022743816574455344
2024-01-31,GMV,0.0043975021807312,0.9902306073710022,-0.01844633037670851
2024-02-29,GMV,-0.0003889771074756,0.9898454303336132,-0.01882813228395075
2024-03-28,GMV,0.0075533729352699,0.9973221020171957,-0.011416975253496053
2024-04-30,GMV,-0.0052044963532374,0.9921315427742442,-0.01656205200066163
2024-05-31,GMV,0.0080652869724917,1.0001333683811795,-0.008630342730408413
2024-06-28,GMV,0.0056130890407088,1.005747206030487,-0.0030656965718972584
2024-07-31,GMV,0.0101877198963475,1.0159934768520598,0.0
2024-08-30,GMV,0.0079406525952849,1.0240611280908176,0.0
2024-09-30,GMV,0.0080560237298614,1.0323109888395459,0.0
2024-10-31,GMV,-0.0053762474690006,1.0267610294985758,-0.005376247469000561
2024-11-29,GMV,0.0034466602923564,1.0302999259686876,-0.001948117275317407
2024-12-31,GMV,0.0018424537251497,1.03219820590531,-0.00010925286609853035
2025-01-31,GMV,0.005996081667684,1.0383873506451553,0.0
2025-02-28,GMV,0.0077285169610754,1.0464125448967827,0.0
2025-03-31,GMV,0.0041712123786525,1.0507773538572336,0.0
2025-04-30,GMV,0.0034903291520109,1.0544449126876745,0.0
2025-05-30,GMV,-0.0021958873615325,1.0521294704304713,-0.0021958873615325336
2025-06-30,GMV,0.0112651883857191,1.0639819071210375,0.0
2025-07-31,GMV,0.0010685222001138,1.0651187954093158,0.0
2025-08-29,GMV,0.0110038429928549,1.0768391954027388,0.0
2025-09-30,GMV,0.0061035907880222,1.0834117811959803,0.0
2025-10-31,GMV,0.0054397377628736,1.0893052571748942,0.0
2025-11-28,GMV,0.0047734752273713,1.094505028835064,0.0
2025-12-30,GMV,0.0015622643857033,1.0962149350615862,0.0
2021-02-26,CtR-only,-0.0056489726076751,0.994351027392325,0.0
2021-03-31,CtR-only,-0.0046305509915072,0.9897466342565272,-0.004630550991507221
2021-04-30,CtR-only,0.0151938893815291,1.0047847351331616,0.0
2021-05-28,CtR-only,0.0102608046037067,1.01509463496915,0.0
2021-06-30,CtR-only,0.0040884570008046,1.0192448057359689,0.0
2021-07-30,CtR-only,0.0111263062108959,1.0305852355484524,0.0
2021-08-31,CtR-only,0.0011248914729713,1.031744532092091,0.0
2021-09-30,CtR-only,-0.0103185127850442,1.0210984629467994,-0.010318512785044143
2021-10-29,CtR-only,0.0101668222082675,1.031479789476715,-0.0002565970617157687
2021-11-30,CtR-only,-0.0059382201283767,1.0253546354288305,-0.0061932934602556555
2021-12-31,CtR-only,0.0120755336328159,1.0377363398145152,0.0
2022-01-31,CtR-only,-0.0164967717095748,1.0206170403218655,-0.016496771709574642
2022-02-28,CtR-only,-0.0026204908349487,1.0179425227217096,-0.019074032905452176
2022-03-31,CtR-only,-0.0065791790947734,1.0112452965565382,-0.025527720521680952
2022-04-29,CtR-only,-0.0283107477814565,0.9826161860205419,-0.053115759446012545
2022-05-31,CtR-only,0.0028631341872837,0.9854295480157157,-0.05040470280548215
2022-06-30,CtR-only,-0.0290684624948426,0.9567846261579112,-0.0780079780872599
2022-07-29,CtR-only,0.021665768867787,0.9775141007245005,-0.05803231204255488
2022-08-31,CtR-only,-0.0254778460731083,0.9526091469319488,-0.08203161980217644
2022-09-30,CtR-only,-0.0497582795699929,0.9052089546779764,-0.1277081471004733
2022-10-31,CtR-only,0.0070697142957851,0.911608523365536,-0.12154129291793259
2022-11-30,CtR-only,0.0408037032795469,0.9488055270600493,-0.08569692449082145
2022-12-30,CtR-only,-0.0102440373550526,0.9390859277981657,-0.095063079350177
2023-01-31,CtR-only,0.0344209804124835,0.9714101861245453,-0.0639142633299562
2023-02-28,CtR-only,-0.0273881646987377,0.9448050439569348,-0.08955193365801462
2023-03-31,CtR-only,0.026362276113149,0.9697122553988233,-0.0655504503464247
2023-04-28,CtR-only,0.0045106077619865,0.9740862470249187,-0.061335514954572457
2023-05-31,CtR-only,-0.0160691260637665,0.9584335323244941,-0.07641903289634788
2023-06-30,CtR-only,0.0087977565156034,0.9668655971782748,-0.06829359242532429
2023-07-31,CtR-only,0.0159017890633437,0.9822404899572076,-0.05347779366310612
2023-08-31,CtR-only,-0.010546293307394,0.9718814936517205,-0.06346009447309664
2023-09-29,CtR-only,-0.0206061125780052,0.9518547941810533,-0.08275854120017834
2023-10-31,CtR-only,-0.0064984875456663,0.9456691776557851,-0.08871922339655769
2023-11-30,CtR-only,0.0378383680474787,0.9814517560510813,-0.054237845976844445
2023-12-29,CtR-only,0.0250133091704571,1.006001112261075,-0.030581204816545693
2024-01-31,CtR-only,-0.0027155892032955,1.0032692265021155,-0.033213748030217705
